items,feedback,admirers,open_date.year,open_date.month,open_date.day-of-month,open_date.day-of-week,sales
9,19,522,2012,1,9,1,92
38,45,1853,2010,10,13,3,117
65,228,1716,2012,8,12,7,448
96,81,4614,2011,1,13,4,150
132,213,1115,2010,4,17,6,484
15,9,1027,2011,11,19,6,35
77,17,810,2011,12,18,7,63
2108,3185,4204,2010,10,21,4,6759
598,763,4228,2010,2,18,4,1330
282,389,3472,2010,12,19,7,841
79,6,564,2013,2,2,6,10
232,165,2870,2009,10,18,7,360
75,34,2238,2012,7,30,1,109
149,88,2432,2012,2,17,5,209
43,4,249,2013,1,25,5,17
82,541,1340,2010,10,20,3,290
156,165,1052,2011,4,27,3,222
64,342,4159,2011,2,10,4,261
63,39,1406,2011,5,3,2,103
147,571,4427,2009,6,9,2,616
91,18,1448,2012,8,15,3,31
27,10,489,2011,6,8,3,14
135,458,1675,2008,6,4,3,1280
285,467,2705,2009,11,4,3,564
16,1,25,2013,5,25,6,1
47,87,2251,2012,1,27,5,134
79,727,8330,2008,4,4,5,972
95,661,10478,2007,7,20,5,668
191,66,280,2011,12,21,3,226
82,132,1493,2011,12,30,5,48
0,0,49,2010,1,14,4,9
161,855,2076,2008,2,2,6,962
47,46,2652,2011,2,16,3,123
172,1441,6781,2009,10,10,6,2918
95,116,2042,2010,4,7,3,193
69,42,951,2012,4,17,2,142
91,2247,26070,2008,3,16,7,3764
45,124,219,2012,7,28,6,44
183,149,3146,2011,7,25,1,310
52,148,5351,2011,2,19,6,319
202,1849,11286,2011,6,5,7,5121
130,176,2190,2009,7,6,1,500
178,19,930,2013,1,1,2,27
33,73,2221,2011,6,23,4,93
117,21,48,2011,5,30,1,42
122,174,298,2010,9,25,6,346
47,25,516,2012,10,22,1,54
240,166,857,2009,11,12,4,397
0,1,325,2012,10,12,5,16
183,10,879,2013,1,29,2,45
119,362,5344,2010,12,22,3,510
419,431,2789,2011,2,23,3,1051
242,144,2017,2012,11,13,2,1138
34,0,44,2011,12,18,7,1
88,569,4151,2009,1,25,7,1159
206,155,1859,2011,6,3,5,366
279,313,155,2012,8,28,2,1425
59,70,448,2012,10,19,5,41
9,3,11,2012,10,23,2,9
98,90,256,2011,5,16,1,160
81,16,852,2013,3,13,3,62
0,0,0,2013,6,20,4,0
0,5,10,2010,1,22,5,0
106,0,24,2013,5,22,3,10
92,5,989,2013,2,11,1,9
17,5,233,2011,11,19,6,12
346,114,649,2011,3,6,7,197
303,75,478,2012,7,13,5,117
25,5,22,2013,3,30,6,3
118,51,1097,2012,10,9,2,105
130,81,108,2007,8,21,2,212
241,248,420,2012,4,12,4,49
106,57,64,2012,12,20,4,57
0,11,0,2013,6,8,6,0
388,170,583,2012,8,23,4,880
0,18,4,2012,1,21,6,0
5,37,32,2011,7,5,2,189
0,58,135,2010,9,23,4,0
12,331,726,2011,10,4,2,1701
1183,967,4908,2011,12,26,1,5314
49,90,302,2012,12,30,7,65
215,395,12161,2008,3,2,7,333
468,256,119,2012,5,15,2,531
21,1,34,2013,4,6,6,21
166,59,14,2013,5,27,1,18
50,15,822,2011,8,25,4,19
0,5,1,2011,9,14,3,0
76,33,139,2012,12,14,5,86
30,7,12,2011,11,17,4,8
35,39,39,2012,1,5,4,62
142,98,165,2012,12,29,6,369
13,24,26,2009,3,23,1,22
25,7,45,2012,2,28,2,15
8,0,5,2013,6,13,4,0
0,19,56,2011,9,2,5,4
986,2210,1622,2009,7,28,2,2727
71,329,765,2009,11,13,5,885
117,55,279,2011,2,5,6,168
14,1,30,2013,5,29,3,4
0,29,56,2009,2,17,2,15
0,0,27,2013,6,11,2,1
64,2,6,2013,4,24,3,0
278,314,361,2010,1,6,3,384
0,46,25,2009,1,4,7,48
19,24,48,2012,5,5,6,45
22,40,133,2011,1,15,6,53
331,270,1228,2011,10,14,5,979
148,1194,2642,2007,11,11,7,3084
53,211,266,2012,4,8,7,1250
0,385,297,2011,12,10,6,1797
105,415,742,2012,3,2,5,1042
5,15,12,2011,2,4,5,2
183,399,1029,2010,8,2,1,964
84,150,1472,2012,5,20,7,543
124,24,25,2013,4,2,2,94
245,131,1072,2011,3,10,4,366
0,5,1,2012,3,18,7,50
53,3,212,2012,3,15,4,11
95,1055,725,2011,1,19,3,3484
146,283,677,2007,2,21,3,354
126,173,990,2011,4,27,3,538
43,33,37,2012,11,4,7,88
121,114,121,2011,7,4,1,174
167,971,1147,2012,7,21,6,5101
2,6,0,2012,8,6,1,2
40,3,141,2010,2,15,1,7
50,4,27,2010,2,7,7,23
24,655,1790,2006,9,25,1,697
9,0,3,2013,4,22,1,0
0,4,6,2012,4,5,4,191
179,75,96,2013,2,8,5,246
9,2,0,2013,6,17,1,0
0,25,5,2011,7,13,3,0
2,35,20,2008,12,16,2,2
161,16,162,2011,11,3,4,90
83,0,0,2013,2,27,3,0
78,2,19,2012,5,8,2,11
38,145,375,2010,11,2,2,53
203,82,986,2011,9,27,2,178
13,3,0,2013,6,19,3,0
0,35,9,2011,8,30,2,0
0,46,8,2011,7,7,4,28
135,87,1231,2010,11,20,6,192
117,521,4554,2008,11,10,1,792
10,0,6,2012,7,25,3,1
254,731,301,2010,3,21,7,1548
28,85,44,2011,10,27,4,35
3,9,3,2012,5,9,3,174
0,21680,5806,2008,12,10,3,36245
30,3,60,2013,4,7,7,3
0,76,12,2010,4,9,5,160
199,38,1270,2011,9,5,1,414
3,1,1,2012,12,10,1,11
0,2,0,2013,6,3,1,4
0,5,0,2012,5,9,3,87
136,1676,4367,2007,1,11,4,4387
0,81,0,2010,11,11,4,5
220,998,2444,2010,4,4,7,3616
66,19,201,2012,9,28,5,49
0,9,3,2012,8,16,4,9
650,3095,2346,2011,2,27,7,15523
0,5,0,2013,3,4,1,0
60,10,13,2013,3,7,4,18
44,219,733,2011,1,29,6,520
142,69,545,2007,4,21,6,135
668,3264,705,2010,1,16,6,5938
50,1,48,2013,3,13,3,0
193,95,1599,2008,7,13,7,228
24,6,153,2013,3,9,6,6
8,0,0,2012,12,1,6,0
95,74,2131,2011,8,18,4,199
0,0,0,2013,6,21,5,0
701,649,941,2012,4,29,7,4975
204,130,4288,2009,8,16,7,325
318,592,2196,2008,9,6,6,1154
70,20,30,2013,1,24,4,94
125,238,510,2009,11,13,5,805
82,91,147,2010,5,28,5,149
223,560,663,2008,3,5,3,781
419,146,495,2012,11,18,7,304
148,734,1155,2012,3,16,5,3608
198,160,234,2010,2,26,5,293
156,1182,1807,2007,2,21,3,1755
0,5,1,2013,2,26,2,0
21,1,34,2013,2,1,5,22
0,51,22,2011,3,30,3,55
53,97,153,2012,12,19,3,372
734,2290,10386,2012,6,20,3,8650
10,0,0,2013,6,8,6,1
2,15,23,2010,9,22,3,0
101,2085,21397,2009,2,26,4,4698
167,175,755,2010,8,9,1,249
133,1049,11516,2009,7,26,7,2278
85,711,2967,2009,5,4,1,1195
215,127,452,2009,6,14,7,162
294,3066,2610,2008,4,3,4,8882
100,457,698,2010,8,16,1,1303
108,1813,17929,2006,1,14,6,4076
1137,2611,1601,2011,10,10,1,7811
110,94,263,2007,12,12,3,255
34,70,272,2011,7,31,7,73
111,135,236,2012,1,26,4,170
624,2709,2369,2009,11,23,1,6964
73,307,371,2007,8,11,6,485
18,29,156,2011,9,24,6,101
127,184,356,2012,8,7,2,961
388,745,451,2011,1,25,2,1365
67,29,182,2012,11,7,3,164
699,231,519,2010,12,15,3,451
0,32,1,2012,5,22,2,0
206,599,9944,2009,6,3,3,1236
196,1000,1222,2007,1,9,2,1306
718,1056,1214,2008,12,6,6,1927
15,6,23,2012,10,31,3,7
93,653,1524,2009,12,6,7,649
0,13,0,2012,9,18,2,2
0,23,22,2009,8,6,4,0
161,74,182,2012,11,25,7,594
0,303,585,2006,9,21,4,204
23,0,1,2013,6,20,4,0
65,57,324,2013,1,24,4,442
107,557,879,2009,2,14,6,585
116,85,2034,2010,6,23,3,138
185,663,8215,2009,12,12,6,847
43,14,156,2010,1,9,6,14
274,626,3587,2010,12,10,5,1690
27,7,69,2011,3,20,7,2
15,35,37,2009,8,1,6,29
314,1062,2618,2009,4,9,4,1618
227,1045,4708,2009,7,26,7,3378
33,14,203,2011,7,20,3,11
21,54,52,2013,4,27,6,13
63,4,89,2013,3,19,2,9
279,13,248,2013,3,17,7,86
106,118,431,2009,8,2,7,158
150,1497,10101,2006,1,6,5,3695
19,732,5218,2007,6,14,4,873
68,79,1188,2012,10,19,5,111
46,192,879,2006,5,31,3,377
120,222,132,2012,6,23,6,401
74,43,374,2012,5,2,3,98
130,27,77,2011,8,5,5,27
14,267,40,2013,5,1,3,0
41,1,147,2013,4,2,2,6
63,8,118,2012,10,13,6,16
59,220,1335,2009,1,26,1,385
24,5,27,2007,3,7,3,10
35,36,46,2012,9,26,3,68
183,376,1036,2010,8,9,1,958
367,122,3141,2012,5,9,3,211
22,98,370,2011,11,20,7,322
238,179,7928,2008,7,16,3,690
21,5,15,2013,5,26,7,15
35,3,3,2013,4,30,2,4
187,170,208,2008,5,28,3,320
198,426,787,2011,3,22,2,1287
32,0,21,2009,9,18,5,2
59,253,4857,2009,2,1,7,490
102,653,1654,2010,10,29,5,1577
23,20,152,2008,12,3,3,14
63,23,2126,2012,3,5,1,110
304,71,2213,2010,12,1,3,688
7,11,1,2008,10,20,1,0
28,5,50,2010,12,12,7,24
16,0,15,2013,4,18,4,0
82,113,286,2008,2,7,4,196
0,57,0,2011,3,1,2,0
23,59,312,2008,2,13,3,83
103,253,2026,2008,6,26,4,247
7,70,307,2007,5,25,5,228
